m,time
20,0.0680646
20,0.0503959
20,0.0507883
20,0.0503994
20,0.0508994
20,0.0506048
20,0.0503871
20,0.0521025
20,0.0500346
20,0.0502273
20,0.0506685
20,0.0508147
20,0.0503223
20,0.0718935
20,0.0505427
20,0.0505415
20,0.0501648
20,0.0506017
20,0.0504101
20,0.0502509
40,0.412184
40,0.383713
40,0.38461
40,0.385816
40,0.391481
40,0.387698
40,0.388127
40,0.383456
40,0.384539
40,0.387241
40,0.383996
40,0.382281
40,0.384495
40,0.384606
40,0.383739
40,0.389929
40,0.384398
40,0.355931
40,0.384104
40,0.3819
60,1.16322
60,1.18649
60,1.17627
60,1.18588
60,1.17829
60,1.18392
60,1.18297
60,1.18339
60,1.18548
60,1.17872
60,1.18089
60,1.18496
60,1.17957
60,1.17605
60,1.17928
60,1.1779
60,1.18151
60,1.17549
60,1.18194
60,1.18022
80,3.0166
80,2.94849
80,2.83672
80,2.92431
80,2.9085
80,2.91254
80,2.9251
80,2.91004
80,2.91034
80,2.90885
80,2.8956
80,2.91656
80,2.91644
80,2.91656
80,2.9264
80,2.90991
80,2.90438
80,2.9104
80,2.90196
80,2.90929
100,5.51543
100,5.23318
100,5.48148
100,5.47841
100,5.48027
100,5.46993
100,5.48599
100,5.47996
100,5.49595
100,5.48227
100,5.46359
100,5.46974
100,5.47009
100,5.47017
100,5.46619
100,5.45846
100,5.48749
100,5.46809
100,5.46268
100,5.45621
